    971.07    17.756	0.28944E+00
    972.69    18.337	0.16950E+00
    974.32    17.652	0.31850E+00
    975.94    17.188	0.48845E+00
    977.57    16.778	0.71249E+00
    979.20    16.370	0.10379E+01
    980.84    15.981	0.14843E+01
    982.48    15.603	0.21032E+01
    984.12    15.286	0.28159E+01
    985.76    14.987	0.37076E+01
    987.40    14.745	0.46353E+01
    989.05    14.537	0.56131E+01
    990.70    14.369	0.65553E+01
    992.36    14.238	0.73960E+01
    994.01    14.140	0.80890E+01
    995.67    14.071	0.86179E+01
    997.33    14.041	0.88670E+01
    999.00    14.026	0.89896E+01
   1000.67    14.058	0.87261E+01
   1002.34    14.102	0.83773E+01
   1004.01    14.189	0.77316E+01
   1005.69    14.298	0.69976E+01
   1007.36    14.446	0.61010E+01
   1009.05    14.622	0.51893E+01
   1010.73    14.835	0.42677E+01
   1012.42    15.078	0.34104E+01
   1014.11    15.375	0.25931E+01
   1015.80    15.668	0.19813E+01
   1017.50    16.011	0.14440E+01
   1019.19    16.361	0.10462E+01
   1020.90    16.695	0.76935E+00
   1022.60    17.041	0.55909E+00
   1024.31    17.422	0.39356E+00
   1026.02    17.634	0.32392E+00
   1027.73    16.868	0.65562E+00
   1029.44    16.426	0.98494E+00
   1031.16    16.114	0.13139E+01
   1032.88    15.871	0.16431E+01
   1034.61    15.672	0.19726E+01
   1036.33    15.497	0.23192E+01
   1038.06    15.060	0.34679E+01
   1039.80    14.750	0.46142E+01
   1041.53    14.509	0.57608E+01
   1043.27    14.312	0.69087E+01
   1045.01    14.144	0.80579E+01
   1046.76    13.999	0.92088E+01
   1048.51    13.849	0.10577E+02
   1050.26    13.719	0.11927E+02
   1052.01    13.603	0.13265E+02
   1053.76    13.500	0.14595E+02
   1055.52    13.405	0.15920E+02
   1057.29    13.318	0.17243E+02
   1059.05    13.259	0.18218E+02
   1060.82    13.204	0.19160E+02
   1062.59    13.152	0.20093E+02
   1064.36    13.103	0.21022E+02
   1066.14    13.057	0.21944E+02
   1067.92    13.012	0.22860E+02
   1069.70    12.987	0.23399E+02
   1071.49    12.962	0.23933E+02
   1073.28    12.939	0.24466E+02
