    971.07    21.905	0.63398E-02
    972.69    22.546	0.35136E-02
    974.32    22.023	0.56839E-02
    975.94    21.716	0.75436E-02
    977.57    21.578	0.85649E-02
    979.20    21.424	0.98729E-02
    980.84    21.256	0.11523E-01
    982.48    21.065	0.13740E-01
    984.12    20.882	0.16262E-01
    985.76    20.667	0.19826E-01
    987.40    20.475	0.23649E-01
    989.05    20.264	0.28725E-01
    990.70    20.082	0.33966E-01
    992.36    19.914	0.39681E-01
    994.01    19.781	0.44838E-01
    995.67    19.676	0.49373E-01
    997.33    19.624	0.51791E-01
    999.00    19.594	0.53249E-01
   1000.67    19.633	0.51375E-01
   1002.34    19.688	0.48860E-01
   1004.01    19.793	0.44339E-01
   1005.69    19.916	0.39583E-01
   1007.36    20.069	0.34389E-01
   1009.05    20.225	0.29778E-01
   1010.73    20.393	0.25516E-01
   1012.42    20.549	0.22100E-01
   1014.11    20.715	0.18969E-01
   1015.80    20.848	0.16780E-01
   1017.50    20.982	0.14827E-01
   1019.19    21.099	0.13314E-01
   1020.90    21.194	0.12205E-01
   1022.60    21.276	0.11317E-01
   1024.31    21.587	0.84933E-02
   1026.02    21.896	0.63939E-02
   1027.73    21.554	0.87542E-02
   1029.44    21.295	0.11118E-01
   1031.16    21.085	0.13485E-01
   1032.88    20.910	0.15854E-01
   1034.61    20.758	0.18229E-01
   1036.33    20.619	0.20715E-01
   1038.06    20.277	0.28399E-01
   1039.80    20.017	0.36082E-01
   1041.53    19.807	0.43771E-01
   1043.27    19.631	0.51469E-01
   1045.01    19.480	0.59177E-01
   1046.76    19.346	0.66896E-01
   1048.51    18.960	0.95502E-01
   1050.26    18.671	0.12467E+00
   1052.01    18.442	0.15390E+00
   1053.76    18.253	0.18317E+00
   1055.52    18.092	0.21249E+00
   1057.29    17.951	0.24186E+00
   1059.05    17.716	0.30027E+00
   1060.82    17.517	0.36077E+00
   1062.59    17.348	0.42132E+00
   1064.36    17.202	0.48196E+00
   1066.14    17.074	0.54268E+00
   1067.92    16.958	0.60363E+00
   1069.70    16.834	0.67658E+00
   1071.49    16.723	0.74960E+00
   1073.28    16.622	0.82271E+00
   1075.07    16.529	0.89590E+00
   1076.86    16.444	0.96920E+00
   1078.66    16.368	0.10391E+01
   1080.46    16.333	0.10739E+01
   1082.26    16.298	0.11087E+01
   1084.07    16.264	0.11436E+01
   1085.88    16.232	0.11785E+01
   1087.69    16.200	0.12134E+01
   1089.51    16.160	0.12586E+01
   1091.32    16.093	0.13394E+01
   1093.15    16.029	0.14202E+01
   1094.97    15.969	0.15011E+01
   1096.80    15.912	0.15820E+01
   1098.63    15.858	0.16630E+01
   1100.46    15.821	0.17199E+01
   1102.30    15.803	0.17498E+01
   1104.14    15.784	0.17797E+01
   1105.98    15.766	0.18096E+01
   1107.83    15.748	0.18396E+01
   1109.68    15.731	0.18695E+01
   1111.53    15.721	0.18864E+01
   1113.39    15.714	0.18982E+01
   1115.24    15.707	0.19099E+01
   1117.11    15.701	0.19217E+01
   1118.97    15.694	0.19335E+01
   1120.84    15.688	0.19439E+01
   1122.71    15.692	0.19378E+01
   1124.58    15.695	0.19315E+01
   1126.46    15.699	0.19252E+01
   1128.34    15.702	0.19190E+01
   1130.22    15.706	0.19127E+01
   1132.11    15.714	0.18984E+01
   1134.00    15.729	0.18733E+01
   1135.90    15.743	0.18480E+01
   1137.79    15.758	0.18228E+01
   1139.69    15.773	0.17975E+01
   1141.59    15.789	0.17721E+01
   1143.50    15.815	0.17290E+01
   1145.41    15.844	0.16836E+01
   1147.32    15.874	0.16381E+01
   1149.23    15.905	0.15925E+01
   1151.15    15.936	0.15469E+01
   1153.07    15.974	0.14938E+01
   1155.00    16.024	0.14271E+01
   1156.93    16.076	0.13603E+01
   1158.86    16.131	0.12932E+01
   1160.79    16.189	0.12262E+01
   1162.73    16.250	0.11589E+01
   1164.67    16.326	0.10806E+01
   1166.61    16.409	0.10011E+01
   1168.56    16.499	0.92149E+00
   1170.51    16.597	0.84166E+00
   1172.47    16.706	0.76165E+00
   1174.42    16.820	0.68560E+00
   1176.38    16.939	0.61408E+00
   1178.35    17.074	0.54242E+00
   1180.31    17.228	0.47063E+00
   1182.28    17.408	0.39870E+00
   1184.26    17.611	0.33096E+00
   1186.23    17.745	0.29230E+00
   1188.21    17.900	0.25356E+00
   1190.20    18.080	0.21476E+00
   1192.18    18.297	0.17589E+00
   1194.17    18.569	0.13695E+00
   1196.17    18.725	0.11856E+00
   1198.16    18.850	0.10573E+00
   1200.16    18.990	0.92874E-01
   1202.17    19.152	0.79985E-01
   1204.17    19.344	0.67056E-01
   1206.18    19.504	0.57871E-01
   1208.20    19.622	0.51909E-01
   1210.21    19.755	0.45935E-01
   1212.23    19.906	0.39949E-01
   1214.26    20.083	0.33952E-01
   1216.29    20.068	0.34425E-01
   1218.31    19.747	0.46277E-01
   1220.35    19.672	0.49586E-01
   1222.39    19.598	0.53086E-01
   1224.43    19.508	0.57646E-01
   1226.47    19.404	0.63422E-01
   1228.52    19.306	0.69439E-01
   1230.57    19.249	0.73178E-01
   1232.62    19.317	0.68729E-01
   1234.68    19.037	0.88976E-01
   1236.74    18.750	0.11585E+00
   1238.81    18.746	0.11627E+00
   1240.87    18.729	0.11810E+00
   1242.94    18.397	0.16037E+00
   1245.02    18.045	0.22173E+00
   1247.10    17.774	0.28477E+00
   1249.18    17.550	0.34991E+00
   1250.20    17.393	0.40435E+00
   1251.40    17.495	0.36816E+00
   1252.40    17.670	0.31320E+00
   1253.60    17.451	0.38338E+00
   1254.80    17.145	0.50801E+00
   1256.00    17.098	0.53071E+00
   1257.20    17.154	0.50374E+00
   1258.40    17.222	0.47354E+00
   1259.60    17.018	0.57121E+00
   1260.80    16.770	0.71772E+00
   1262.00    16.704	0.76295E+00
