    500.00    27.954		0.24128E-04
    500.83    27.897		0.25421E-04
    501.67    27.843		0.26713E-04
    502.51    27.792		0.28004E-04
    503.35    27.743		0.29294E-04
    504.19    27.696		0.30583E-04
    505.03    27.652		0.31871E-04
    505.87    27.608		0.33161E-04
    506.72    27.567		0.34450E-04
    507.56    27.527		0.35739E-04
    508.41    27.489		0.37030E-04
    509.26    27.451		0.38320E-04
    510.11    27.415		0.39612E-04
    510.96    27.381		0.40905E-04
    511.81    27.347		0.42199E-04
    512.67    27.314		0.43494E-04
    513.52    27.282		0.44790E-04
    514.38    27.251		0.46087E-04
    515.24    27.221		0.47386E-04
    516.10    27.191		0.48686E-04
    516.96    27.163		0.49989E-04
    517.82    27.135		0.51292E-04
    518.69    27.108		0.52597E-04
    519.55    27.081		0.53904E-04
    520.42    27.055		0.55213E-04
    521.29    27.029		0.56523E-04
    522.16    27.005		0.57835E-04
    523.03    26.980		0.59149E-04
    523.90    26.956		0.60465E-04
    524.78    26.933		0.61782E-04
    525.65    26.910		0.63101E-04
    526.53    26.887		0.64423E-04
    527.41    26.865		0.65745E-04
    528.29    26.844		0.67069E-04
    529.17    26.822		0.68397E-04
    530.06    26.801		0.69727E-04
    530.94    26.781		0.71059E-04
    531.83    26.761		0.72390E-04
    532.71    26.741		0.73726E-04
    533.60    26.721		0.75062E-04
    534.49    26.702		0.76402E-04
    535.39    26.683		0.77742E-04
    536.28    26.665		0.79086E-04
    537.18    26.646		0.80430E-04
    538.07    26.628		0.81778E-04
    538.97    26.611		0.83127E-04
    539.87    26.593		0.84477E-04
    540.77    26.576		0.85832E-04
    541.67    26.559		0.87189E-04
    542.58    26.542		0.88544E-04
    543.48    26.526		0.89905E-04
    544.39    26.509		0.91266E-04
    545.30    26.493		0.92632E-04
    546.21    26.462		0.95324E-04
    547.12    26.417		0.99321E-04
    548.03    26.375		0.10332E-03
    548.95    26.333		0.10731E-03
    549.87    26.294		0.11131E-03
    550.78    26.255		0.11531E-03
    551.70    26.218		0.11930E-03
    552.62    26.183		0.12330E-03
    553.55    26.148		0.12731E-03
    554.47    26.114		0.13131E-03
    555.40    26.082		0.13532E-03
    556.32    26.050		0.13933E-03
    557.25    26.019		0.14334E-03
    558.18    25.989		0.14736E-03
    559.11    25.960		0.15139E-03
    560.05    25.931		0.15541E-03
    560.98    25.903		0.15945E-03
    561.92    25.876		0.16349E-03
    562.86    25.850		0.16752E-03
    563.80    25.824		0.17157E-03
    564.74    25.799		0.17563E-03
    565.68    25.774		0.17969E-03
    566.62    25.749		0.18375E-03
    567.57    25.726		0.18782E-03
    568.52    25.702		0.19189E-03
    569.47    25.680		0.19597E-03
    570.42    25.657		0.20005E-03
    571.37    25.635		0.20415E-03
    572.32    25.614		0.20825E-03
    573.28    25.592		0.21235E-03
    574.23    25.572		0.21645E-03
    575.19    25.551		0.22056E-03
    576.15    25.531		0.22469E-03
    577.11    25.511		0.22882E-03
    578.08    25.492		0.23295E-03
    579.04    25.473		0.23708E-03
    580.01    25.454		0.24123E-03
    580.98    25.435		0.24538E-03
    581.95    25.417		0.24954E-03
    582.92    25.399		0.25371E-03
    583.89    25.381		0.25787E-03
    584.87    25.364		0.26204E-03
    585.84    25.347		0.26623E-03
    586.82    25.330		0.27042E-03
    587.80    25.313		0.27462E-03
    588.78    25.297		0.27882E-03
    589.76    25.280		0.28302E-03
    590.75    25.264		0.28724E-03
    591.73    25.243		0.29291E-03
    592.72    25.205		0.30326E-03
    593.71    25.169		0.31359E-03
    594.70    25.134		0.32394E-03
    595.70    25.100		0.33429E-03
    596.69    25.067		0.34465E-03
    597.69    25.034		0.35500E-03
    598.68    25.003		0.36538E-03
    599.68    24.973		0.37576E-03
    600.68    24.943		0.38615E-03
    601.69    24.914		0.39654E-03
    602.69    24.886		0.40696E-03
    603.70    24.859		0.41737E-03
    604.70    24.832		0.42781E-03
    605.71    24.806		0.43826E-03
    606.72    24.780		0.44872E-03
