    971.07    16.900	0.63669E+00
    972.69    17.482	0.37246E+00
    974.32    16.829	0.68008E+00
    975.94    16.391	0.10176E+01
    977.57    16.022	0.14292E+01
    979.20    15.648	0.20183E+01
    980.84    15.285	0.28187E+01
    982.48    14.918	0.39516E+01
    984.12    14.606	0.52658E+01
    985.76    14.298	0.69943E+01
    987.40    14.048	0.88099E+01
    989.05    13.823	0.10833E+02
    990.70    13.642	0.12801E+02
    992.36    13.497	0.14624E+02
    994.01    13.390	0.16145E+02
    995.67    13.313	0.17333E+02
    997.33    13.278	0.17901E+02
    999.00    13.260	0.18189E+02
   1000.67    13.296	0.17608E+02
   1002.34    13.344	0.16839E+02
   1004.01    13.439	0.15424E+02
   1005.69    13.557	0.13838E+02
   1007.36    13.718	0.11933E+02
   1009.05    13.904	0.10051E+02
   1010.73    14.128	0.81807E+01
   1012.42    14.375	0.65148E+01
   1014.11    14.674	0.49483E+01
   1015.80    14.954	0.38224E+01
   1017.50    15.278	0.28369E+01
   1019.19    15.597	0.21136E+01
   1020.90    15.897	0.16037E+01
   1022.60    16.203	0.12103E+01
   1024.31    16.572	0.86119E+00
   1026.02    16.799	0.69902E+00
   1027.73    16.095	0.13361E+01
   1029.44    15.677	0.19648E+01
   1031.16    15.376	0.25918E+01
   1032.88    15.141	0.32185E+01
   1034.61    14.948	0.38457E+01
   1036.33    14.775	0.45098E+01
   1038.06    14.309	0.69256E+01
   1039.80    13.985	0.93313E+01
   1041.53    13.736	0.11737E+02
   1043.27    13.534	0.14143E+02
   1045.01    13.363	0.16552E+02
   1046.76    13.215	0.18964E+02
   1048.51    13.033	0.22421E+02
   1050.26    12.880	0.25829E+02
   1052.01    12.747	0.29190E+02
   1053.76    12.630	0.32522E+02
   1055.52    12.524	0.35834E+02
   1057.29    12.429	0.39135E+02
   1059.05    12.354	0.41920E+02
   1060.82    12.286	0.44632E+02
   1062.59    12.223	0.47314E+02
   1064.36    12.163	0.49971E+02
   1066.14    12.107	0.52609E+02
   1067.92    12.055	0.55222E+02
   1069.70    12.022	0.56920E+02
   1071.49    11.990	0.58603E+02
   1073.28    11.960	0.60277E+02
   1075.07    11.930	0.61940E+02
   1076.86    11.901	0.63595E+02
   1078.66    11.875	0.65167E+02
   1080.46    11.862	0.65972E+02
   1082.26    11.848	0.66773E+02
   1084.07    11.836	0.67573E+02
   1085.88    11.823	0.68373E+02
   1087.69    11.810	0.69170E+02
   1089.51    11.798	0.69946E+02
   1091.32    11.787	0.70654E+02
   1093.15    11.776	0.71356E+02
   1094.97    11.766	0.72057E+02
   1096.80    11.755	0.72755E+02
   1098.63    11.745	0.73450E+02
   1100.46    11.738	0.73926E+02
   1102.30    11.735	0.74160E+02
   1104.14    11.731	0.74392E+02
   1105.98    11.728	0.74624E+02
   1107.83    11.724	0.74856E+02
   1109.68    11.721	0.75088E+02
   1111.53    11.720	0.75171E+02
   1113.39    11.720	0.75194E+02
   1115.24    11.719	0.75218E+02
   1117.11    11.719	0.75242E+02
   1118.97    11.719	0.75266E+02
   1120.84    11.718	0.75275E+02
   1122.71    11.721	0.75119E+02
   1124.58    11.723	0.74962E+02
   1126.46    11.725	0.74806E+02
   1128.34    11.727	0.74649E+02
   1130.22    11.730	0.74492E+02
   1132.11    11.733	0.74250E+02
   1134.00    11.738	0.73897E+02
   1135.90    11.744	0.73544E+02
   1137.79    11.749	0.73190E+02
