    900.60    11.170	0.12472E+03
    909.86     9.427	0.62094E+03
    919.12     7.984	0.23455E+04
    928.38     7.146	0.50762E+04
    937.64     6.786	0.70723E+04
    946.90     6.647	0.80374E+04
    956.16     6.526	0.89854E+04
    965.42     6.515	0.90795E+04
    974.68     6.455	0.95924E+04
    983.94     6.368	0.10398E+05
    993.20     6.403	0.10064E+05
   1002.46     6.522	0.90215E+04
   1011.72     6.550	0.87913E+04
   1020.98     6.469	0.94715E+04
   1030.24     6.374	0.10338E+05
   1039.50     6.292	0.11149E+05
   1048.76     6.303	0.11034E+05
   1058.02     6.299	0.11072E+05
   1067.28     6.302	0.11043E+05
   1076.54     6.327	0.10792E+05
   1085.80     6.358	0.10488E+05
   1095.06     6.361	0.10459E+05
   1104.32     6.319	0.10878E+05
   1113.58     6.240	0.11699E+05
   1122.84     6.236	0.11735E+05
   1132.10     6.310	0.10960E+05
   1141.36     6.270	0.11374E+05
   1155.80     6.271	0.11369E+05
   1157.00     6.264	0.11437E+05
   1158.20     6.315	0.10914E+05
   1159.20     6.298	0.11087E+05
   1160.40     6.284	0.11233E+05
   1161.60     6.250	0.11591E+05
   1162.80     6.281	0.11258E+05
   1164.00     6.300	0.11067E+05
   1165.20     6.311	0.10958E+05
   1166.40     6.322	0.10844E+05
   1167.60     6.289	0.11182E+05
   1168.80     6.289	0.11179E+05
   1169.80     6.308	0.10982E+05
   1171.00     6.324	0.10824E+05
   1172.20     6.340	0.10665E+05
   1173.40     6.350	0.10568E+05
   1174.60     6.357	0.10496E+05
   1175.80     6.316	0.10907E+05
   1177.00     6.306	0.11001E+05
   1178.20     6.308	0.10983E+05
   1179.40     6.304	0.11024E+05
   1180.60     6.302	0.11046E+05
   1181.60     6.283	0.11245E+05
   1182.80     6.247	0.11621E+05
   1184.00     6.247	0.11624E+05
   1185.20     6.288	0.11194E+05
   1186.40     6.286	0.11208E+05
   1187.60     6.277	0.11308E+05
   1188.80     6.325	0.10817E+05
   1190.00     6.352	0.10550E+05
   1191.20     6.381	0.10266E+05
   1192.40     6.382	0.10260E+05
   1193.40     6.422	0.98872E+04
   1194.60     6.444	0.96881E+04
   1195.80     6.461	0.95445E+04
   1197.00     6.467	0.94855E+04
   1198.20     6.451	0.96321E+04
   1199.40     6.473	0.94405E+04
   1200.60     6.495	0.92510E+04
   1201.80     6.443	0.97011E+04
   1203.00     6.426	0.98518E+04
   1204.20     6.453	0.96132E+04
   1205.20     6.488	0.93068E+04
   1206.40     6.513	0.90947E+04
   1207.60     6.592	0.84556E+04
   1208.80     6.738	0.73893E+04
   1210.00     6.875	0.65162E+04
   1211.20     7.062	0.54855E+04
   1212.40     7.299	0.44105E+04
   1213.60     7.542	0.35248E+04
   1214.80     7.629	0.32534E+04
   1216.00     7.524	0.35826E+04
   1217.00     7.299	0.44079E+04
   1218.20     7.052	0.55378E+04
   1219.40     6.808	0.69319E+04
   1220.60     6.656	0.79731E+04
   1221.80     6.584	0.85209E+04
   1223.00     6.496	0.92397E+04
   1224.20     6.453	0.96084E+04
   1225.40     6.454	0.96057E+04
   1226.60     6.475	0.94217E+04
   1227.80     6.497	0.92293E+04
   1228.80     6.562	0.86914E+04
   1230.00     6.680	0.78003E+04
   1231.20     6.859	0.66122E+04
   1232.40     7.065	0.54721E+04
   1233.60     7.293	0.44327E+04
   1234.80     7.469	0.37707E+04
   1236.00     7.438	0.38798E+04
   1237.20     7.336	0.42632E+04
   1238.40     7.138	0.51123E+04
   1239.60     6.884	0.64632E+04
   1240.60     6.707	0.76082E+04
   1241.80     6.549	0.87961E+04
   1243.00     6.400	0.10096E+05
   1244.20     6.339	0.10680E+05
   1245.40     6.345	0.10621E+05
   1246.60     6.375	0.10325E+05
   1247.80     6.423	0.98804E+04
   1249.00     6.460	0.95499E+04
   1250.20     6.461	0.95405E+04
   1251.40     6.475	0.94228E+04
   1252.40     6.464	0.95156E+04
   1253.60     6.446	0.96760E+04
   1254.80     6.439	0.97342E+04
   1256.00     6.429	0.98252E+04
   1257.20     6.472	0.94410E+04
   1258.40     6.494	0.92526E+04
   1259.60     6.477	0.94001E+04
   1260.80     6.447	0.96691E+04
   1262.00     6.424	0.98697E+04
   1263.20     6.392	0.10170E+05
   1264.20     6.379	0.10286E+05
   1265.40     6.417	0.99329E+04
   1266.60     6.414	0.99611E+04
   1267.80     6.418	0.99281E+04
   1269.00     6.433	0.97932E+04
   1270.20     6.440	0.97304E+04
   1271.40     6.451	0.96304E+04
   1272.60     6.403	0.10066E+05
   1273.80     6.387	0.10219E+05
   1275.00     6.390	0.10189E+05
   1276.00     6.399	0.10106E+05
   1277.20     6.385	0.10232E+05
   1278.40     6.387	0.10213E+05
   1279.60     6.363	0.10445E+05
   1280.80     6.374	0.10340E+05
   1282.00     6.377	0.10304E+05
   1283.20     6.396	0.10126E+05
   1284.40     6.382	0.10262E+05
   1285.60     6.378	0.10300E+05
   1286.80     6.386	0.10225E+05
   1287.80     6.374	0.10336E+05
   1289.00     6.357	0.10497E+05
   1290.20     6.353	0.10543E+05
   1291.40     6.350	0.10573E+05
   1292.60     6.323	0.10834E+05
   1293.80     6.348	0.10591E+05
   1295.00     6.331	0.10751E+05
   1296.20     6.348	0.10592E+05
   1297.40     6.360	0.10467E+05
   1298.60     6.396	0.10132E+05
   1299.60     6.439	0.97391E+04
   1300.80     6.492	0.92754E+04
   1302.00     6.525	0.89923E+04
   1303.20     6.538	0.88887E+04
   1304.40     6.548	0.88064E+04
   1305.60     6.510	0.91168E+04
   1306.80     6.455	0.95941E+04
   1308.00     6.459	0.95601E+04
   1309.20     6.459	0.95552E+04
   1310.40     6.421	0.99011E+04
   1311.40     6.451	0.96257E+04
   1312.60     6.453	0.96084E+04
   1313.80     6.452	0.96243E+04
   1315.00     6.451	0.96310E+04
   1316.20     6.459	0.95568E+04
   1317.40     6.497	0.92333E+04
   1318.60     6.491	0.92770E+04
   1319.80     6.474	0.94300E+04
   1321.00     6.497	0.92311E+04
   1322.00     6.480	0.93730E+04
   1323.20     6.480	0.93730E+04
   1324.40     6.481	0.93661E+04
   1325.60     6.463	0.95223E+04
   1326.80     6.467	0.94845E+04
   1328.00     6.471	0.94550E+04
   1329.20     6.451	0.96269E+04
   1330.40     6.482	0.93620E+04
   1331.60     6.506	0.91524E+04
   1332.80     6.503	0.91800E+04
   1333.80     6.533	0.89320E+04
   1335.00     6.541	0.88672E+04
   1336.20     6.528	0.89741E+04
   1337.40     6.505	0.91651E+04
   1338.60     6.521	0.90241E+04
   1339.80     6.509	0.91283E+04
   1341.00     6.496	0.92400E+04
   1342.20     6.480	0.93762E+04
   1343.40     6.470	0.94649E+04
   1344.60     6.498	0.92218E+04
   1345.60     6.492	0.92694E+04
   1346.80     6.489	0.92940E+04
   1348.00     6.490	0.92895E+04
   1349.20     6.531	0.89465E+04
   1350.40     6.513	0.90944E+04
   1351.60     6.502	0.91911E+04
   1352.80     6.511	0.91124E+04
   1354.00     6.501	0.91955E+04
   1355.20     6.510	0.91207E+04
   1356.40     6.538	0.88874E+04
   1357.40     6.558	0.87269E+04
   1358.60     6.573	0.86052E+04
   1359.80     6.601	0.83901E+04
   1361.00     6.617	0.82630E+04
   1362.20     6.627	0.81866E+04
   1363.40     6.629	0.81747E+04
   1364.60     6.592	0.84587E+04
   1365.80     6.536	0.89013E+04
   1367.00     6.538	0.88847E+04
   1368.20     6.527	0.89753E+04
   1369.20     6.553	0.87647E+04
   1370.40     6.601	0.83841E+04
   1371.60     6.629	0.81731E+04
   1372.80     6.635	0.81301E+04
   1374.00     6.644	0.80636E+04
   1375.20     6.665	0.79076E+04
   1376.40     6.642	0.80729E+04
   1377.60     6.606	0.83478E+04
   1378.80     6.596	0.84238E+04
   1380.00     6.568	0.86432E+04
   1381.00     6.528	0.89665E+04
   1382.20     6.559	0.87199E+04
   1383.40     6.603	0.83691E+04
   1384.60     6.618	0.82553E+04
   1385.80     6.657	0.79659E+04
   1387.00     6.673	0.78490E+04
   1388.20     6.659	0.79506E+04
   1389.40     6.647	0.80353E+04
   1390.60     6.653	0.79948E+04
   1391.80     6.632	0.81504E+04
   1392.80     6.651	0.80084E+04
   1394.00     6.682	0.77822E+04
   1395.20     6.671	0.78610E+04
   1396.40     6.665	0.79067E+04
   1397.60     6.627	0.81872E+04
   1398.80     6.617	0.82649E+04
   1400.00     6.635	0.81316E+04
   1401.20     6.650	0.80147E+04
   1402.40     6.687	0.77472E+04
   1403.60     6.707	0.76070E+04
   1404.60     6.691	0.77178E+04
   1405.80     6.703	0.76360E+04
   1407.00     6.733	0.74258E+04
   1408.20     6.751	0.73016E+04
   1409.40     6.717	0.75349E+04
   1410.60     6.687	0.77478E+04
   1411.80     6.639	0.80977E+04
   1413.00     6.603	0.83676E+04
   1414.20     6.623	0.82176E+04
   1415.40     6.612	0.83056E+04
   1416.40     6.632	0.81526E+04
   1417.60     6.673	0.78454E+04
   1418.80     6.679	0.78022E+04
   1420.00     6.697	0.76805E+04
   1421.20     6.649	0.80258E+04
   1422.40     6.623	0.82202E+04
   1423.60     6.598	0.84065E+04
   1424.80     6.603	0.83716E+04
   1426.00     6.595	0.84321E+04
   1427.20     6.613	0.82978E+04
   1428.20     6.655	0.79808E+04
   1429.40     6.649	0.80216E+04
   1430.60     6.658	0.79577E+04
   1431.80     6.656	0.79706E+04
   1433.00     6.577	0.85738E+04
   1434.20     6.589	0.84781E+04
   1435.40     6.605	0.83556E+04
   1436.60     6.600	0.83981E+04
   1437.80     6.625	0.82013E+04
   1439.00     6.619	0.82471E+04
   1440.00     6.644	0.80593E+04
   1441.20     6.682	0.77852E+04
   1442.40     6.660	0.79406E+04
   1443.60     6.672	0.78570E+04
   1444.80     6.689	0.77311E+04
   1446.00     6.705	0.76238E+04
   1447.20     6.705	0.76221E+04
   1448.40     6.723	0.74934E+04
   1449.60     6.709	0.75923E+04
   1450.80     6.706	0.76154E+04
   1451.80     6.705	0.76175E+04
