    925.52     7.057	0.55102E+04
    934.78     5.777	0.17919E+05
    944.04     4.740	0.46579E+05
    953.30     3.857	0.10501E+06
    962.56     3.377	0.16343E+06
    971.82     3.317	0.17268E+06
    981.08     3.306	0.17435E+06
    990.34     2.974	0.23682E+06
    999.60     2.579	0.34080E+06
   1008.86     2.454	0.38239E+06
   1018.12     2.643	0.32135E+06
   1027.38     2.899	0.25378E+06
   1036.64     2.664	0.31502E+06
   1045.90     2.171	0.49600E+06
   1055.16     1.924	0.62266E+06
   1064.42     1.889	0.64350E+06
   1073.68     1.914	0.62888E+06
   1082.94     1.966	0.59924E+06
   1092.20     1.992	0.58530E+06
   1101.46     1.989	0.58654E+06
   1110.72     1.936	0.61629E+06
   1119.98     1.942	0.61248E+06
   1129.24     1.979	0.59212E+06
   1138.50     1.901	0.63593E+06
   1147.76     1.777	0.71290E+06
   1155.80     1.722	0.75050E+06
   1157.00     1.669	0.78756E+06
   1158.00     1.741	0.73715E+06
   1159.20     1.696	0.76844E+06
   1160.40     1.741	0.73746E+06
   1161.60     1.675	0.78339E+06
   1162.80     1.744	0.73551E+06
   1164.00     1.722	0.75016E+06
   1165.20     1.761	0.72358E+06
   1166.40     1.727	0.74706E+06
   1167.60     1.678	0.78144E+06
   1168.80     1.713	0.75647E+06
   1169.80     1.791	0.70403E+06
   1171.00     1.891	0.64212E+06
   1172.20     1.940	0.61354E+06
   1173.40     1.988	0.58726E+06
   1174.60     1.923	0.62330E+06
   1175.80     1.785	0.70811E+06
   1177.00     1.714	0.75552E+06
   1178.20     1.685	0.77589E+06
   1179.40     1.680	0.77958E+06
   1180.60     1.666	0.79021E+06
   1181.60     1.623	0.82209E+06
   1182.80     1.568	0.86468E+06
   1184.00     1.569	0.86416E+06
   1185.20     1.686	0.77528E+06
   1186.40     1.692	0.77100E+06
   1187.60     1.766	0.72034E+06
   1188.80     1.845	0.66968E+06
   1190.00     1.877	0.65071E+06
   1191.20     1.964	0.60051E+06
   1192.40     1.989	0.58651E+06
   1193.40     2.058	0.55080E+06
   1194.60     2.076	0.54132E+06
   1195.80     2.109	0.52534E+06
   1197.00     2.121	0.51974E+06
   1198.20     2.095	0.53234E+06
