3080	9.476	7.0
3160	9.391	7.0
3240	9.31	7.0
3320	9.232	7.0
3400	9.168	7.0
3480	9.103	7.0
3560	9.039	7.0
3640	8.979	7.0
3680	8.945	7.0
3720	8.919	7.0
3760	8.849	7.0
3800	8.731	7.0
3840	8.744	7.0
3880	8.702	7.0
3920	8.702	7.0
3960	8.69	7.0
3980	8.681	7.0
4000	8.5	7.0
4020	8.483	7.0
4060	8.479	7.0
4100	8.527	7.0
4140	8.403	7.0
4200	8.385	7.0
4240	8.373	7.0
4260	8.378	7.0
4300	8.434	7.0
4340	8.483	7.0
4380	8.296	7.0
4400	8.293	7.0
4560	8.235	7.0
4760	8.18	7.0
4800	8.157	7.0
4820	8.166	7.0
4860	8.25	7.0
4900	8.136	7.0
4920	8.134	7.0
4960	8.13	7.0
5000	8.118	7.0
5120	8.081	7.0
5240	8.048	7.0
5400	8.014	7.0
5560	7.982	7.0
5760	7.948	7.0
6020	7.908	7.0
6420	7.862	7.0
6460	7.858	7.0
6500	7.854	7.0
6540	7.89	7.0
6560	7.948	7.0
6580	7.907	7.0
6620	7.845	7.0
6660	7.843	7.0
6700	7.84	7.0
6740	7.839	7.0
6780	7.837	7.0
7100	7.812	7.0
7460	7.79	7.0
7780	7.776	7.0
8100	7.76	7.0
8380	7.759	7.0
8780	7.755	7.0
9300	7.752	7.0
9700	7.752	7.0
9940	7.752	7.0
10260	7.752	7.0
10820	7.76	7.0
11140	7.76	7.0
12000	7.763	7.0
