 3125.9714 11.570  2.1
 3128.0537 11.550  2.1
 3130.1359 11.564  2.1
 3132.2182 11.581  2.1
 3134.3005 11.575  2.1
 3136.3828 11.554  2.1
 3138.4650 11.522  2.1
 3140.5473 11.510  2.1
 3142.6296 11.524  2.1
 3144.7118 11.520  2.1
 3146.7941 11.474  2.1
 3148.8764 11.450  2.1
 3150.9587 11.454  2.1
 3153.0409 11.444  2.1
 3155.1232 11.433  2.1
 3157.2055 11.431  2.1
 3159.2877 11.427  2.1
 3161.3700 11.398  2.1
 3163.4523 11.352  2.1
 3165.5345 11.327  2.1
 3167.6168 11.330  2.1
 3169.6991 11.366  2.1
 3171.7814 11.414  2.1
 3173.8636 11.430  2.1
 3175.9459 11.440  2.1
 3178.0282 11.456  2.1
 3180.1104 11.454  2.1
 3182.1927 11.440  2.1
 3184.2750 11.418  2.1
 3186.3573 11.388  2.1
 3188.4395 11.342  2.1
 3190.5218 11.330  2.1
 3192.6041 11.330  2.1
 3194.6863 11.336  2.1
 3196.7686 11.348  2.1
 3198.8509 11.361  2.1
 3200.9332 11.354  2.1
 3203.0154 11.340  2.1
 3205.0977 11.342  2.1
 3207.1800 11.375  2.1
 3209.2622 11.393  2.1
 3211.3445 11.391  2.1
 3213.4268 11.366  2.1
 3215.5090 11.373  2.1
 3217.5913 11.408  2.1
 3219.6736 11.430  2.1
 3221.7559 11.419  2.1
 3223.8381 11.376  2.1
 3225.9204 11.370  2.1
 3228.0027 11.382  2.1
 3230.0849 11.386  2.1
 3232.1672 11.318  2.1
 3234.2495 11.330  2.1
 3236.3318 11.349  2.1
 3238.4140 11.357  2.1
 3240.4963 11.339  2.1
 3242.5786 11.343  2.1
 3244.6608 11.366  2.1
 3246.7431 11.383  2.1
 3248.8254 11.366  2.1
 3250.9077 11.390  2.1
 3252.9899 11.409  2.1
 3255.0722 11.417  2.1
 3257.1545 11.413  2.1
 3259.2367 11.435  2.1
 3261.3190 11.441  2.1
 3263.4013 11.423  2.1
 3265.4836 11.390  2.1
 3267.5658 11.396  2.1
 3269.6481 11.404  2.1
 3271.7304 11.405  2.1
 3273.8126 11.405  2.1
 3275.8949 11.429  2.1
 3277.9772 11.455  2.1
 3280.0594 11.447  2.1
 3282.1417 11.416  2.1
 3284.2240 11.389  2.1
 3286.3063 11.368  2.1
 3288.3885 11.362  2.1
 3290.4708 11.365  2.1
 3292.5531 11.370  2.1
 3294.6353 11.361  2.1
 3296.7176 11.367  2.1
 3298.7999 11.369  2.1
 3300.8822 11.356  2.1
 3302.9644 11.339  2.1
 3305.0467 11.333  2.1
 3307.1290 11.339  2.1
 3309.2112 11.352  2.1
 3311.2935 11.366  2.1
 3313.3758 11.339  2.1
 3315.4581 11.327  2.1
 3317.5403 11.341  2.1
 3319.6226 11.377  2.1
 3321.7049 11.401  2.1
 3323.7871 11.387  2.1
 3325.8694 11.351  2.1
 3327.9517 11.319  2.1
 3330.0339 11.366  2.1
 3332.1162 11.396  2.1
 3334.1985 11.398  2.1
 3336.2808 11.370  2.1
 3338.3630 11.389  2.1
 3340.4453 11.398  2.1
 3342.5276 11.395  2.1
 3344.6098 11.380  2.1
 3346.6921 11.366  2.1
 3348.7744 11.336  2.1
 3350.8567 11.297  2.1
 3352.9389 11.271  2.1
 3355.0212 11.312  2.1
 3357.1035 11.344  2.1
 3359.1857 11.348  2.1
 3361.2680 11.338  2.1
 3363.3503 11.342  2.1
 3365.4326 11.360  2.1
 3367.5148 11.367  2.1
 3369.5971 11.366  2.1
 3371.6794 11.356  2.1
 3373.7616 11.334  2.1
 3375.8439 11.322  2.1
 3377.9262 11.316  2.1
 3380.0084 11.313  2.1
 3382.0907 11.330  2.1
 3384.1730 11.346  2.1
 3386.2553 11.352  2.1
 3388.3375 11.350  2.1
 3390.4198 11.352  2.1
 3392.5021 11.373  2.1
 3394.5843 11.370  2.1
 3396.6666 11.349  2.1
 3398.7489 11.352  2.1
 3400.8312 11.371  2.1
 3402.9134 11.369  2.1
 3404.9957 11.347  2.1
 3407.0780 11.313  2.1
 3409.1602 11.319  2.1
 3411.2425 11.328  2.1
 3413.3248 11.342  2.1
 3415.4071 11.359  2.1
 3417.4893 11.328  2.1
 3419.5716 11.314  2.1
 3421.6539 11.317  2.1
 3423.7361 11.334  2.1
 3425.8184 11.338  2.1
 3427.9007 11.345  2.1
 3429.9830 11.366  2.1
 3432.0652 11.392  2.1
 3434.1475 11.379  2.1
 3436.2298 11.374  2.1
 3438.3120 11.385  2.1
 3440.3943 11.402  2.1
 3442.4766 11.405  2.1
 3444.5588 11.413  2.1
 3446.6411 11.432  2.1
 3448.7234 11.453  2.1
 3450.8057 11.467  2.1
 3452.8879 11.390  2.1
 3454.9702 11.361  2.1
 3457.0525 11.361  2.1
 3459.1347 11.374  2.1
 3461.2170 11.395  2.1
 3463.2993 11.437  2.1
 3465.3816 11.471  2.1
 3467.4638 11.477  2.1
 3469.5461 11.440  2.1
 3471.6284 11.419  2.1
 3473.7106 11.432  2.1
 3475.7929 11.467  2.1
 3477.8752 11.467  2.1
 3479.9575 11.464  2.1
 3482.0397 11.460  2.1
 3484.1220 11.449  2.1
 3486.2043 11.416  2.1
 3488.2865 11.424  2.1
